"Arv";"Latitude";"Longitude";"Rua";"Nº da casa";"Bairro";"Espécie";"Copa raio (m)";"Altura (m)";"Distância entre árvores (m)"
1;578134,0147880;9117843,7638900;"Agostinho Pereira Lima";"s/n";"São Cristovão";"Ficus Bejamin";1,48;4,15;29,4
2;578137,1238740;9117844,1859400;"Agostinho Pereira Lima";"s/n";"São Cristovão";"Ficus Bejamin";1,33;3,63;4,2
3;578154,5114420;9117844,7726700;"Agostinho Pereira Lima";"575";"São Cristovão";"Ficus Bejamin";2,08;4,84;12,6
4;578157,2379110;9117845,0695500;"Agostinho Pereira Lima";"575";"São Cristovão";"Ficus Bejamin";1,98;4,84;3,5
5;578167,1987220;9117845,5279300;"Agostinho Pereira Lima";"591";"São Cristovão";"Nim indiano";1,65;3,46;11,2
6;578173,2278110;9117845,7092800;"Agostinho Pereira Lima";"591";"São Cristovão";"Ficus Bejamin";2,32;4,49;3,5
7;578187,8712510;9117845,9779100;"Agostinho Pereira Lima";"s/n";"São Cristovão";"Nim indiano";0,04;2,42;14,7
8;578190,9809830;9117845,9229100;"Agostinho Pereira Lima";"615";"São Cristovão";"Ficus Bejamin";0,46;2,42;3,5
9;578194,3319730;9117845,9370400;"Agostinho Pereira Lima";"615";"São Cristovão";"Nim indiano";0,53;2,59;4,2
10;578391,7601070;9117795,5750800;"Agostinho Pereira Lima";"s/n";"São Cristovão";"Ficus Bejamin";4,99;8,32;210,0
11;578186,6751810;9117839,2300500;"Agostinho Pereira Lima";"630";"São Cristovão";"Ficus Bejamin";1,65;4,84;214,9
12;578145,5581310;9117839,0446900;"Agostinho Pereira Lima";"s/n";"São Cristovão";"Ficus Bejamin";1,07;3,11;44,1
13;578141,6080320;9117838,8364100;"Agostinho Pereira Lima";"s/n";"São Cristovão";"Ficus Bejamin";1,86;3,97;4,2
14;578362,8293930;9117055,8840400;"Antonio Alves da Silveira";"Posto de saúde";"São Cristovão";"Ficus benjamim";2,60;5,00;14,8
15;578360,8549340;9117056,9928000;"Antonio Alves da Silveira";"Posto de saúde";"São Cristovão";"Olho-de-pombo";0,75;2,40;7,0
16;578358,9648940;9117057,9490800;"Antonio Alves da Silveira";"Posto de saúde";"São Cristovão";"Olho-de-pombo";3,15;5,70;4,7
17;578336,4409210;9117070,0810700;"Antonio Alves da Silveira";"s/n";"São Cristovão";"Nim indiano";1,83;3,71;25,7
18;578325,3108650;9117074,2572700;"Antonio Alves da Silveira";"151";"São Cristovão";"Ficus benjamim";1,83;3,71;11,7
19;578320,9538530;9117076,1981100;"Antonio Alves da Silveira";"802";"São Cristovão";"Olho-de-pombo";1,60;3,50;7,8
20;578314,2315960;9117078,6254400;"Antonio Alves da Silveira";"798";"São Cristovão";"Ficus benjamim";1,83;3,71;7,0
21;578309,4341220;9117080,6236300;"Antonio Alves da Silveira";"700";"São Cristovão";"Acácia";1,60;3,60;6,2
22;578304,9074330;9117082,0670600;"Antonio Alves da Silveira";"694";"São Cristovão";"Acácia";1,50;3,00;5,5
23;578298,1701490;9117084,9375200;"Antonio Alves da Silveira";"686";"São Cristovão";"Olho-de-pombo";3,00;5,00;8,6
24;578294,9545690;9117086,3575000;"Antonio Alves da Silveira";"680";"São Cristovão";"Acácia";6,50;6,00;7,8
25;578290,6081640;9117088,0073100;"Antonio Alves da Silveira";"676";"São Cristovão";"Acácia";3,00;5,00;6,2
26;578285,4947450;9117090,0450600;"Antonio Alves da Silveira";"672";"São Cristovão";"Acácia";3,30;5,50;7,0
27;578268,9146500;9117096,5471400;"Antonio Alves da Silveira";"s/n";"São Cristovão";"Ficus benjamim";1,83;3,71;20,3
28;578210,2068120;9117116,5393400;"Antonio Alves da Silveira";"588";"São Cristovão";"Ficus benjamim";3,50;6,00;63,2
29;578206,1122440;9117118,1090800;"Antonio Alves da Silveira";"582";"São Cristovão";"Ficus benjamim";1,00;2,00;6,2
30;578152,6666900;9117135,2337600;"Antonio Alves da Silveira";"420";"São Cristovão";"Ficus benjamim";3,40;3,60;327,6
31;578143,8930400;9117138,2240400;"Antonio Alves da Silveira";"707";"São Cristovão";"Ficus benjamim";2,90;5,50;7,0
32;578119,3599460;9117146,8674300;"Antonio Alves da Silveira";"486";"São Cristovão";"Olho-de-pombo";3,30;5,00;6,2
33;578112,7432330;9117149,2563300;"Antonio Alves da Silveira";"482";"São Cristovão";"Ficus benjamim";1,83;3,71;6,2
34;578107,6641970;9117151,0982600;"Antonio Alves da Silveira";"476";"São Cristovão";"Ficus benjamim";4,50;5,20;6,2
35;578099,6505920;9117153,5254800;"Antonio Alves da Silveira";"472";"São Cristovão";"Ficus benjamim";2,40;4,00;5,5
36;578085,4837850;9117158,4647800;"Antonio Alves da Silveira";"452";"São Cristovão";"Ficus benjamim";1,65;3,00;21,1
37;578081,7008740;9117160,1117200;"Antonio Alves da Silveira";"452";"São Cristovão";"Ficus benjamim";0,75;2,30;6,2
38;578075,2160720;9117162,3834900;"Antonio Alves da Silveira";"438";"São Cristovão";"Ficus benjamim";3,00;6,00;6,2
39;578060,7230990;9117167,2651500;"Antonio Alves da Silveira";"426";"São Cristovão";"Ficus benjamim";3,40;3,60;74,1
40;578055,9419280;9117168,9695400;"Antonio Alves da Silveira";"500";"São Cristovão";"Pau-Brasil";2,50;3,20;85,0
41;578050,8269640;9117170,6435500;"Antonio Alves da Silveira";"416";"São Cristovão";"Ficus benjamim";5,05;6,00;5,5
42;578045,8523140;9117172,5343400;"Antonio Alves da Silveira";"410";"São Cristovão";"Ficus benjamim";2,40;5,00;6,2
43;578042,9474400;9117173,4843600;"Antonio Alves da Silveira";"410";"São Cristovão";"Castanhola";0,75;2,00;4,7
44;578039,5610540;9117174,5983500;"Antonio Alves da Silveira";"406";"São Cristovão";"Castanhola";5,05;6,00;6,2
45;577985,3842840;9117196,6933400;"Antonio Alves da Silveira";"324";"São Cristovão";"Ficus benjamim";2,50;3,40;62,4
46;577968,3036480;9117203,0399900;"Antonio Alves da Silveira";"298";"São Cristovão";"Ficus benjamim";1,35;2,26;14,0
47;577927,1910270;9117218,3502300;"Antonio Alves da Silveira";"268";"São Cristovão";"Ficus benjamim";1,70;3,80;52,3
48;577866,3474600;9117237,0294800;"Antonio Alves da Silveira";"206";"São Cristovão";"Ficus benjamim";3,35;5,00;74,1
49;577842,4482170;9117245,5408800;"Antonio Alves da Silveira";"166";"São Cristovão";"Ficus benjamim";2,90;6,00;32,0
50;577822,3071100;9117252,6536100;"Antonio Alves da Silveira";"150";"São Cristovão";"Ficus benjamim";3,60;6,00;23,4
51;577817,2176770;9117254,5961800;"Antonio Alves da Silveira";"144";"São Cristovão";"Ficus benjamim";2,00;5,00;112,3
52;577790,2253520;9117264,3128900;"Antonio Alves da Silveira";"120";"São Cristovão";"Ficus benjamim";0,70;2,50;28,9
53;577737,0640410;9117283,5430400;"Antonio Alves da Silveira";"64";"São Cristovão";"Ficus benjamim";1,70;3,00;62,4
54;577732,6542440;9117285,2678400;"Antonio Alves da Silveira";"64";"São Cristovão";"Ficus benjamim";0,85;2,40;6,2
55;577728,6727160;9117286,6055200;"Antonio Alves da Silveira";"64";"São Cristovão";"Ficus benjamim";2,55;3,50;5,5
56;577725,0496630;9117287,9422600;"Antonio Alves da Silveira";"64";"São Cristovão";"Ficus benjamim";1,35;2,90;6,2
57;577691,3467140;9117302,6350000;"Antonio Alves da Silveira";"N║: Ao lado do moto art";"São Cristovão";"Ficus benjamim";2,50;3,70;28,9
58;577684,2494160;9117305,3809000;"Antonio Alves da Silveira";"N║: Ao lado da moto art";"São Cristovão";"Ficus benjamim";2,60;3,20;7,0
59;577587,1363110;9117350,1301300;"Antonio Alves da Silveira";"262";"São Cristovão";"Ficus benjamim";1,50;2,70;125,6
60;577583,9144310;9117351,6932900;"Antonio Alves da Silveira";"262";"São Cristovão";"Ficus benjamim";1,25;2,50;3,9
61;577580,8751740;9117353,0505600;"Antonio Alves da Silveira";"262";"São Cristovão";"Ficus benjamim";1,83;3,71;6,2
62;577514,3822570;9117382,8508800;"Antonio Alves da Silveira";"196";"São Cristovão";"Acácia";1,70;3,00;79,6
63;577556,6292570;9117373,0540500;"Antonio Alves da Silveira";"233";"São Cristovão";"Flamboyant";1,55;3,00;62,4
64;577563,8946230;9117369,8533500;"Antonio Alves da Silveira";"243";"São Cristovão";"Acácia";2,35;3,30;9,4
65;577570,3262030;9117366,8171500;"Antonio Alves da Silveira";"404";"São Cristovão";"Acácia";1,83;3,71;9,4
66;577576,3896890;9117364,0256400;"Antonio Alves da Silveira";"404";"São Cristovão";"Nim indiano";1,83;3,71;7,8
67;577792,2985690;9117276,8361700;"Antonio Alves da Silveira";"121";"São Cristovão";"Ficus benjamim";2,30;3,70;242,6
68;577795,4896500;9117275,8551700;"Antonio Alves da Silveira";"121";"São Cristovão";"Ficus benjamim";0,75;2,70;8,6
69;577814,4637970;9117268,8307700;"Antonio Alves da Silveira";"143";"São Cristovão";"Acácia";1,75;3,00;28,1
70;577819,3775130;9117267,1700300;"Antonio Alves da Silveira";"152";"São Cristovão";"Ficus benjamim";2,00;4,50;0,0
71;577821,5325670;9117266,2621900;"Antonio Alves da Silveira";"151";"São Cristovão";"Ficus benjamim";1,83;3,71;4,7
72;577849,4511490;9117256,0787700;"Antonio Alves da Silveira";"1866";"São Cristovão";"Ficus benjamim";1,83;3,71;28,1
73;577988,4512150;9117206,9266500;"Antonio Alves da Silveira";"325";"São Cristovão";"Ficus benjamim";2,50;5,00;160,7
74;577996,9028900;9117203,6057100;"Antonio Alves da Silveira";"335";"São Cristovão";"Ficus benjamim";1,83;3,71;11,7
75;577999,8357430;9117202,5890500;"Antonio Alves da Silveira";"335";"São Cristovão";"Ficus benjamim";1,83;3,71;3,1
76;578066,5268360;9117177,3999900;"Antonio Alves da Silveira";"423";"São Cristovão";"Nim indiano";3,05;3,50;70,2
77;578101,1223660;9117165,2644100;"Antonio Alves da Silveira";"461";"São Cristovão";"Ficus benjamim";1,15;3,30;36,7
78;578106,5567990;9117163,6362100;"Antonio Alves da Silveira";"467";"São Cristovão";"Olho-de-pombo";0,04;4,00;7,8
79;578110,4225820;9117162,0043000;"Antonio Alves da Silveira";"475";"São Cristovão";"Acácia";2,40;4,00;7,0
80;578114,2024200;9117160,7457700;"Antonio Alves da Silveira";"479";"São Cristovão";"Ficus benjamim";1,83;3,71;5,5
81;578117,9704740;9117159,5311800;"Antonio Alves da Silveira";"487";"São Cristovão";"Ficus benjamim";1,83;3,71;5,5
82;578122,3213930;9117157,7416400;"Antonio Alves da Silveira";"483";"São Cristovão";"Ficus benjamim";1,83;3,71;7,0
84;578196,8430660;9117132,0572200;"Antonio Alves da Silveira";"571";"São Cristovão";"Acácia";1,83;3,71;74,1
85;578267,5448920;9117107,5562200;"Antonio Alves da Silveira";"649";"São Cristovão";"Acácia";3,50;6,00;74,1
86;578279,9789980;9117103,3443900;"Antonio Alves da Silveira";"661";"São Cristovão";"Ficus benjamim";1,50;4,00;15,6
87;578295,5684450;9117097,7930300;"Antonio Alves da Silveira";"683";"São Cristovão";"Acácia";2,60;5,00;18,7
88;578307,3601740;9117093,4431300;"Antonio Alves da Silveira";"699";"São Cristovão";"Nim indiano";2,25;4,00;14,0
89;578313,8895010;9117091,0120600;"Antonio Alves da Silveira";"480";"São Cristovão";"Acácia";1,40;3,20;7,0
90;578317,6667040;9117089,8222900;"Antonio Alves da Silveira";"711";"São Cristovão";"Ficus benjamim";4,00;5,00;6,2
91;578350,4270790;9117071,9698200;"Antonio Alves da Silveira";"792";"São Cristovão";"Nim indiano";1,83;3,71;39,0
92;578358,5279320;9117067,5296900;"Antonio Alves da Silveira";"865";"São Cristovão";"Nim indiano";0,04;23,00;8,6
93;578362,2251490;9117065,1441500;"Antonio Alves da Silveira";"865";"São Cristovão";"Nim indiano";4,25;4,50;4,7
94;578366,1820000;9117062,9090800;"Antonio Alves da Silveira";"865";"São Cristovão";"Nim indiano";1,18;3,00;4,7
95;578509,4013500;9116823,9650600;"Antonio Alves de Oliveira";1928;"Nossa Senhora da Conceição";"Ficus benjamim";2,65;4,00;45,2
96;578510,9422970;9116829,2464000;"Antonio Alves de Oliveira";1928;"Nossa Senhora da Conceição";"Ficus benjamim";1,65;4,00;4,1
97;578533,3323700;9116884,1353000;"Antonio Alves de Oliveira";1986;"Nossa Senhora da Conceição";"Acácia";3,35;4,70;60,1
98;578537,6709750;9116896,1540100;"Antonio Alves de Oliveira";1998;"Nossa Senhora da Conceição";"Ficus benjamim";1,10;3,00;10,1
99;578539,6122920;9116901,2431200;"Antonio Alves de Oliveira";1998;"Nossa Senhora da Conceição";"Ficus benjamim";2,05;4,00;4,7
100;578544,4206870;9116912,6403500;"Antonio Alves de Oliveira";2006;"Nossa Senhora da Conceição";"Ficus benjamim";0,75;2,00;12,2
101;578551,4878190;9116930,5799800;"Antonio Alves de Oliveira";2046;"Nossa Senhora da Conceição";"Ficus benjamim";1,90;4,70;15,5
102;578553,2182680;9116934,9084000;"Antonio Alves de Oliveira";2046;"Nossa Senhora da Conceição";"Ficus benjamim";1,50;3,20;4,1
103;578555,2980040;9116940,3758700;"Antonio Alves de Oliveira";2050;"Nossa Senhora da Conceição";"Ficus benjamim";1,65;3,00;5,4
104;578557,2844240;9116944,8025800;"Antonio Alves de Oliveira";2056;"Nossa Senhora da Conceição";"Ficus benjamim";2,90;3,50;6,1
105;578559,0819510;9116949,4826400;"Antonio Alves de Oliveira";2060;"Nossa Senhora da Conceição";"Ficus benjamim";1,75;3,20;6,8
106;578563,5279260;9116960,6810100;"Antonio Alves de Oliveira";2076;"Nossa Senhora da Conceição";"Ficus benjamim";2,00;5,00;15,5
107;578565,6556630;9116966,2504000;"Antonio Alves de Oliveira";2082;"Nossa Senhora da Conceição";"Ficus benjamim";3,00;4,00;8,1
108;578567,9278730;9116971,6908000;"Antonio Alves de Oliveira";2088;"Nossa Senhora da Conceição";"Ficus benjamim";2,70;4,90;7,4
109;578571,9860290;9116982,2281200;"Antonio Alves de Oliveira";4;"Nossa Senhora da Conceição";"Ním indiano";1,60;3,20;12,2
110;578573,9051900;9116985,5021400;"Antonio Alves de Oliveira";4;"Nossa Senhora da Conceição";"Ním indiano";3,25;8,00;3,4
111;578574,6757410;9116988,9684800;"Antonio Alves de Oliveira";4;"Nossa Senhora da Conceição";"Ficus benjamim";3,15;8,00;3,4
112;578576,7016870;9116993,2148000;"Antonio Alves de Oliveira";4;"Nossa Senhora da Conceição";"Ním indiano";3,20;7,60;3,4
113;578582,5178970;9117006,5641700;"Antonio Alves de Oliveira";2142;"Nossa Senhora da Conceição";"Ficus benjamim";1,40;3,30;9,5
114;578584,0784240;9117010,6133700;"Antonio Alves de Oliveira";2142;"Nossa Senhora da Conceição";"Ficus benjamim";1,70;5,50;4,1
115;578585,8683700;9117014,3992400;"Antonio Alves de Oliveira";2142;"Nossa Senhora da Conceição";"Ficus benjamim";2,20;6,00;4,1
116;578587,4585800;9117018,2049300;"Antonio Alves de Oliveira";2142;"Nossa Senhora da Conceição";"Ficus benjamim";3,00;3,00;4,1
117;578588,9924490;9117023,2175100;"Antonio Alves de Oliveira";2142;"Nossa Senhora da Conceição";"Ficus benjamim";2,65;6,80;7,4
118;578590,7871320;9117027,5437700;"Antonio Alves de Oliveira";2146;"Nossa Senhora da Conceição";"Ním indiano";1,90;3,20;4,7
119;578592,4128440;9117031,2643200;"Antonio Alves de Oliveira";2150;"Nossa Senhora da Conceição";"Ním indiano";2,80;3,30;4,1
120;578594,0664240;9117035,6880900;"Antonio Alves de Oliveira";2150;"Nossa Senhora da Conceição";"Acácia";0,04;2,50;5,4
121;578598,3052140;9117047,2383700;"Antonio Alves de Oliveira";2160;"Nossa Senhora da Conceição";"Acácia";3,90;6,50;13,5
122;578602,2390780;9117056,8643000;"Antonio Alves de Oliveira";2198;"Nossa Senhora da Conceição";"Acácia";0,50;2,10;9,5
123;578606,8405020;9117068,9657500;"Antonio Alves de Oliveira";2210;"Nossa Senhora da Conceição";"Ficus benjamim";0,50;2,00;14,9
124;578611,3445020;9117079,2753000;"Antonio Alves de Oliveira";2350;"Nossa Senhora da Conceição";"Ficus benjamim";1,25;2,10;10,8
125;578615,9269220;9117090,9769600;"Antonio Alves de Oliveira";2240;"Nossa Senhora da Conceição";"Ficus benjamim";1,35;4,00;12,2
126;578636,0684730;9117143,3106400;"Antonio Alves de Oliveira";2296;"Nossa Senhora da Conceição";"Ficus benjamim";2,10;4,30;51,3
127;578638,9998930;9117150,9604300;"Antonio Alves de Oliveira";2296;"Nossa Senhora da Conceição";"Ním indiano";1,65;5,50;9,5
128;578644,6031320;9117166,7421900;"Antonio Alves de Oliveira";2300;"Nossa Senhora da Conceição";"Ficus benjamim";0,65;2,00;14,2
129;578645,8303130;9117169,8905300;"Antonio Alves de Oliveira";230;"Nossa Senhora da Conceição";"Ficus benjamim";3,60;5,00;3,4
130;578647,3345760;9117173,7251100;"Antonio Alves de Oliveira";2320;"Nossa Senhora da Conceição";"Ficus benjamim";0,75;4,00;4,1
131;578650,8962880;9117183,4541100;"Antonio Alves de Oliveira";2310;"Nossa Senhora da Conceição";"Ficus benjamim";3,50;7,00;8,8
132;578651,9641810;9117186,4487200;"Antonio Alves de Oliveira";2310;"Nossa Senhora da Conceição";"Ficus benjamim";2,30;4,00;4,1
133;578673,4711320;9117264,7967600;"Antonio Alves de Oliveira";2409;"Nossa Senhora da Conceição";"Ficus benjamim";2,10;3,00;65,5
134;578674,3949960;9117269,7518100;"Antonio Alves de Oliveira";2409;"Nossa Senhora da Conceição";"Ficus benjamim";1,50;4,00;3,4
135;578664,4643460;9117244,3711800;"Antonio Alves de Oliveira";2387;"Nossa Senhora da Conceição";"Ficus benjamim";1,65;3,50;70,9
136;578662,8378150;9117241,7551900;"Antonio Alves de Oliveira";2387;"Nossa Senhora da Conceição";"Ficus benjamim";2,05;3,30;2,7
137;578661,1198600;9117239,3257700;"Antonio Alves de Oliveira";2405;"Nossa Senhora da Conceição";"Ficus benjamim";2,15;3,20;4,7
138;578659,1351230;9117236,2977700;"Antonio Alves de Oliveira";2230;"Nossa Senhora da Conceição";"Ficus benjamim";1,00;3,00;4,7
139;578646,1810780;9117197,6803700;"Antonio Alves de Oliveira";2070;"Nossa Senhora da Conceição";"Ficus benjamim";2,00;3,50;6,1
140;578641,4230000;9117192,7760000;"Antonio Alves de Oliveira";2319;"Nossa Senhora da Conceição";"Ficus benjamim";1,80;4,50;10,8
141;578640,8132340;9117183,0970400;"Antonio Alves de Oliveira";2301;"Nossa Senhora da Conceição";"Acácia";1,50;3,50;24,3
142;578597,7703460;9117074,4216100;"Antonio Alves de Oliveira";2217;"Nossa Senhora da Conceição";"Ficus benjamim";1,45;4,00;85,7
143;578590,1467120;9117055,2538500;"Antonio Alves de Oliveira";2199;"Nossa Senhora da Conceição";"Ficus benjamim";4,20;7,00;20,9
144;578584,4343210;9117041,4537500;"Antonio Alves de Oliveira";2191;"Nossa Senhora da Conceição";"Ficus benjamim";2,10;4,50;16,9
145;578553,3576300;9116961,6608600;"Antonio Alves de Oliveira";2075;"Nossa Senhora da Conceição";"Ficus benjamim";2,75;4,70;80,3
146;578533,6579510;9116913,1549800;"Antonio Alves de Oliveira";2015;"Nossa Senhora da Conceição";"Ficus benjamim";3,40;6,00;52,0
147;578532,5774080;9116909,8454900;"Antonio Alves de Oliveira";2015;"Nossa Senhora da Conceição";"Ficus benjamim";3,70;5,30;4,7
148;578515,5601360;9116867,3370000;"Antonio Alves de Oliveira";1959;"Nossa Senhora da Conceição";"Ficus benjamim";2,00;3,20;54,7
149;578508,7191110;9116850,3317000;"Antonio Alves de Oliveira";1945;"Nossa Senhora da Conceição";"Ficus benjamim";1,15;2,70;8,1
150;578507,3226920;9116846,3586400;"Antonio Alves de Oliveira";1934;"Nossa Senhora da Conceição";"Ficus benjamim";0,75;3,70;5,4
151;578746,4608200;9116578,4884500;"Antonio da cruz sampaio";"12";"Nossa Senhora da Conceição";"Ficus Benjamin";0,04;2,76;11,2
152;578785,0057280;9116565,7957200;"Antonio da cruz sampaio";"s/n";"Nossa Senhora da Conceição";"Ficus Benjamin";0,78;2,42;39,9
153;578796,7030010;9116561,6895400;"Antonio da cruz sampaio";"52";"Nossa Senhora da Conceição";"Ficus Benjamin";3,00;4,67;10,5
154;578806,4054590;9116559,2202700;"Antonio da cruz sampaio";"52";"Nossa Senhora da Conceição";"Ficus Benjamin";0,95;3,00;10,5
155;578837,7990000;9116549,1803600;"Antonio da cruz sampaio";"112";"Nossa Senhora da Conceição";"Ficus Benjamin";1,83;3,80;59,5
156;578847,7725460;9116546,0649100;"Antonio da cruz sampaio";"124";"Nossa Senhora da Conceição";"Ficus Benjamin";1,65;3,46;14,0
157;578853,7934400;9116544,4746200;"Antonio da cruz sampaio";"130";"Nossa Senhora da Conceição";"Ficus Benjamin";1,90;5,19;4,9
158;578902,0115990;9116528,5304000;"Antonio da cruz sampaio";"178";"Nossa Senhora da Conceição";"Ficus Benjamin";0,83;2,76;52,5
159;578924,2053800;9116521,5500000;"Antonio da cruz sampaio";"200";"Nossa Senhora da Conceição";"Ficus Benjamin";1,86;4,15;25,9
160;578976,9547780;9116504,7972000;"Antonio da cruz sampaio";"248";"Nossa Senhora da Conceição";"Ficus Benjamin";1,65;3,97;55,3
161;578995,6612560;9116498,3319600;"Antonio da cruz sampaio";"227";"Nossa Senhora da Conceição";"Ficus Benjamin";1,98;4,32;60,2
162;579009,6445050;9116493,7015500;"Antonio da cruz sampaio";"225";"Nossa Senhora da Conceição";"Ficus Benjamin";2,38;3,90;14,0
163;578953,4026300;9116504,8673600;"Antonio da cruz sampaio";"201";"Nossa Senhora da Conceição";"Nim indiano";2,21;3,63;23,1
164;578883,5661850;9116485,8602100;"Joana Nunes";"36";"Nossa Senhora da Conceição";"Ficus Benjamin";0,85;3,80;29,4
165;578888,5929880;9116484,0288100;"Joana Nunes";"40";"Nossa Senhora da Conceição";"Ficus Benjamin";1,55;3,63;7,7
166;578922,6708150;9116472,2733800;"Joana Nunes";"54";"Nossa Senhora da Conceição";"Ficus Benjamin";2,29;5,19;19,6
167;578933,5514380;9116468,7249800;"Joana Nunes";"60";"Nossa Senhora da Conceição";"Ficus Benjamin";0,43;2,20;6,3
168;578944,4908550;9116465,0635800;"Joana Nunes";"64";"Nossa Senhora da Conceição";"Ficus Benjamin";2,24;5,36;5,6
169;578956,1560590;9116460,5713900;"Joana Nunes";"70";"Nossa Senhora da Conceição";"Ficus Benjamin";2,00;5,19;9,1
170;578968,6222630;9116456,5065700;"Joana Nunes";"82";"Nossa Senhora da Conceição";"Ficus Benjamin";1,58;3,97;10,5
171;578989,7882730;9116448,8039600;"Joana Nunes";"100";"Nossa Senhora da Conceição";"Ficus Benjamin";0,78;3,28;19,6
172;578979,1468420;9116459,6183900;"Joana Nunes";"101";"Nossa Senhora da Conceição";"Ficus Benjamin";0,57;2,76;63,7
173;578955,0666700;9116468,2119800;"Joana Nunes";"63";"Nossa Senhora da Conceição";"Ficus Benjamin";1,38;3,80;37,1
174;578932,5834410;9116475,6553900;"Joana Nunes";"55";"Nossa Senhora da Conceição";"Ficus Benjamin";2,29;4,49;10,5
175;578925,1978370;9116478,3557900;"Joana Nunes";"49";"Nossa Senhora da Conceição";"Ficus Benjamin";0,54;2,24;6,3
176;578891,4928110;9116490,1044100;"Joana Nunes";"35";"Nossa Senhora da Conceição";"Ficus Benjamin";1,30;3,63;25,9
177;578800,9977680;9116480,2561900;"Jose pereira de souza";"99";"Nossa Senhora da Conceição";"Ficus Benjamin";2,38;4,84;34,3
178;578688,4713620;9116518,7519600;"Jose pereira de souza";"1591";"Nossa Senhora da Conceição";"Ficus Benjamin";1,38;2,76;118,3
179;578682,7615080;9116521,0557000;"Jose pereira de souza";"1591";"Nossa Senhora da Conceição";"Ficus Benjamin";1,48;3,63;5,6
180;578677,8679510;9116523,2863600;"Jose pereira de souza";"1591";"Nossa Senhora da Conceição";"Ficus Benjamin";0,83;2,42;5,6
181;578666,4073500;9116528,8037600;"Jose pereira de souza";"1591";"Nossa Senhora da Conceição";"Ficus Benjamin";1,03;2,59;11,2
182;578588,5785740;9116563,6445700;"Jose pereira de souza";"291";"Nossa Senhora da Conceição";"Nim indiano";1,54;3,28;96,6
183;578581,2217780;9116567,0395800;"Jose pereira de souza";"291";"Nossa Senhora da Conceição";"Ficus Benjamin";1,11;3,46;12,6
184;578574,2189870;9116570,4605800;"Jose pereira de souza";"291";"Nossa Senhora da Conceição";"Nim indiano";1,83;3,80;11,9
185;578567,4823820;9116573,4769700;"Jose pereira de souza";"291";"Nossa Senhora da Conceição";"Craibeira";0,87;1,69;9,1
186;578559,6789920;9116576,7445600;"Jose pereira de souza";"291";"Nossa Senhora da Conceição";"Euclipto";3,86;12,11;16,1
187;578532,7759780;9116588,2115900;"Jose pereira de souza";"s/n";"Nossa Senhora da Conceição";"Ficus Benjamin";2,15;5,53;17,5
188;578527,7185760;9116590,3541900;"Jose pereira de souza";"s/n";"Nossa Senhora da Conceição";"Ficus Benjamin";2,32;5,53;5,6
189;578523,0109730;9116592,4441900;"Jose pereira de souza";"s/n";"Nossa Senhora da Conceição";"Ficus Benjamin";2,38;5,19;4,9
190;578453,4961720;9116623,6146000;"Jose pereira de souza";"153";"Nossa Senhora da Conceição";"Ficus Benjamin";4,63;7,78;80,5
191;578448,5401700;9116626,0954000;"Jose pereira de souza";"153";"Nossa Senhora da Conceição";"Nim indiano";2,80;6,74;9,1
192;578442,8973670;9116628,1382000;"Jose pereira de souza";"153";"Nossa Senhora da Conceição";"Nim indiano";2,38;5,19;6,3
193;578437,3775670;9116631,1504000;"Jose pereira de souza";"153";"Nossa Senhora da Conceição";"Nim indiano";2,30;4,84;6,3
194;578397,5179810;9116647,7630100;"Jose pereira de souza";"145";"Nossa Senhora da Conceição";"Ficus Benjamin";2,23;4,67;53,9
195;578394,1991700;9116649,2928200;"Jose pereira de souza";"145";"Nossa Senhora da Conceição";"Ficus Benjamin";2,53;4,67;4,9
196;578375,8491700;9116657,2156100;"Jose pereira de souza";"127";"Nossa Senhora da Conceição";"Ficus Benjamin";2,14;4,49;22,4
197;578373,3939600;9116658,1499900;"Jose pereira de souza";"127";"Nossa Senhora da Conceição";"Ficus Benjamin";1,30;3,97;4,2
198;578370,8389680;9116659,1770000;"Jose pereira de souza";"122";"Nossa Senhora da Conceição";"Ficus Benjamin";2,45;5,36;4,9
199;578367,0859630;9116660,6340000;"Jose pereira de souza";"122";"Nossa Senhora da Conceição";"Ficus Benjamin";1,75;5,37;4,9
200;578363,3387610;9116662,5556000;"Jose pereira de souza";"122";"Nossa Senhora da Conceição";"Ficus Benjamin";2,43;6,22;4,2
201;578359,2559630;9116664,6850100;"Jose pereira de souza";"122";"Nossa Senhora da Conceição";"Ficus Benjamin";2,68;5,53;5,6
202;578487,0727560;9116598,4149800;"Jose pereira de souza";"1641";"Nossa Senhora da Conceição";"Nim indiano";2,00;3,80;162,4
203;578492,5161520;9116595,9899900;"Jose pereira de souza";"1641";"Nossa Senhora da Conceição";"Ficus Benjamin";1,67;3,80;8,4
204;578519,3133470;9116584,1919800;"Jose pereira de souza";"164";"Nossa Senhora da Conceição";"Carolina";3,58;7,78;30,8
205;578542,6913430;9116572,8039700;"Jose pereira de souza";"250";"Nossa Senhora da Conceição";"Nim indiano";3,25;5,19;24,5
206;578547,1099480;9116570,8687700;"Jose pereira de souza";"250";"Nossa Senhora da Conceição";"Ficus Benjamin";2,15;7,78;5,6
207;578551,3063650;9116569,1805700;"Jose pereira de souza";"250";"Nossa Senhora da Conceição";"Ficus Benjamin";2,95;6,92;4,9
208;578556,4627590;9116566,4605700;"Jose pereira de souza";"250";"Nossa Senhora da Conceição";"Acácia";2,78;5,36;6,3
